query,target,window,pred,gt,signed_score_pct,direction
Block Count (Window),blocking,5,20,0,+100.0,over
Block Count (Window),blocking,6,20,0,+100.0,over
Block Count (Window),blocking,7,20,0,+100.0,over
Block Count (Window),blocking,8,20,6,+53.8,over
Block Count (Window),blocking,9,20,14,+17.6,over
Block Count (Window),blocking,10,20,0,+100.0,over
Block Count (Window),blocking,11,20,0,+100.0,over
Block Count (Window),blocking,12,20,4,+66.7,over
Block Count (Window),blocking,13,20,16,+11.1,over
Block Count (Window),blocking,14,20,3,+73.9,over
Block Count (Window),blocking,15,20,17,+8.1,over
Block Count (Window),blocking,16,20,0,+100.0,over
Block Count (Window),blocking,17,20,0,+100.0,over
Block Count (Window),blocking,18,20,0,+100.0,over
Block Count (Window),blocking,19,20,0,+100.0,over
Block Count (Window),blocking,20,20,0,+100.0,over
Block Count (Window),blocking,21,20,20,+0.0,exact
Block Count (Window),blocking,22,20,0,+100.0,over
Block Count (Window),blocking,23,20,0,+100.0,over
Block Count (Window),blocking,24,20,0,+100.0,over
Block Count (Window),blocking,25,20,0,+100.0,over
Block Count (Window),blocking,26,20,0,+100.0,over
Block Count (Window),blocking,27,20,0,+100.0,over
Block Count (Window),blocking,28,20,0,+100.0,over
Block Count (Window),blocking,29,20,0,+100.0,over
Block Count (Window),blocking,30,20,0,+100.0,over
Block Count (Window),blocking,31,20,15,+14.3,over
Block Count (Window),blocking,32,20,5,+60.0,over
Block Count (Window),blocking,33,20,0,+100.0,over
Block Count (Window),blocking,34,20,0,+100.0,over
Block Count (Window),blocking,35,20,0,+100.0,over
Block Count (Window),blocking,36,20,0,+100.0,over
Block Count (Window),blocking,37,20,12,+25.0,over
Block Count (Window),blocking,38,20,8,+42.9,over
Block Count (Window),blocking,39,20,0,+100.0,over
Block Count (Window),blocking,40,20,0,+100.0,over
Block Count (Window),blocking,41,20,0,+100.0,over
Block Count (Window),blocking,42,20,0,+100.0,over
Block Count (Window),blocking,43,20,0,+100.0,over
Block Count (Window),blocking,44,20,0,+100.0,over
Block Count (Window),blocking,45,20,0,+100.0,over
Block Count (Window),blocking,46,20,0,+100.0,over
Block Count (Window),blocking,47,20,0,+100.0,over
Block Count (Window),blocking,48,20,0,+100.0,over
Block Count (Window),blocking,49,20,0,+100.0,over
Block Count (Window),blocking,50,20,0,+100.0,over
Block Count (Window),blocking,51,20,5,+60.0,over
Block Count (Window),blocking,52,20,15,+14.3,over
Block Count (Window),blocking,53,20,0,+100.0,over
Block Count (Window),blocking,54,20,0,+100.0,over
Block Count (Window),blocking,55,20,0,+100.0,over
Block Count (Window),blocking,56,20,0,+100.0,over
Block Count (Window),blocking,57,20,2,+81.8,over
Block Count (Window),blocking,58,20,18,+5.3,over
Block Count (Window),blocking,59,20,0,+100.0,over
Block Count (Window),blocking,60,20,0,+100.0,over
Block Count (Window),blocking,61,20,0,+100.0,over
Block Count (Window),blocking,62,20,20,+0.0,exact
Block Count (Window),blocking,63,20,0,+100.0,over
Block Count (Window),blocking,64,20,0,+100.0,over
Block Count (Window),blocking,65,20,0,+100.0,over
Block Count (Window),blocking,66,20,0,+100.0,over
Block Count (Window),blocking,67,17,0,+100.0,over
Block Count (Window),blocking,68,20,0,+100.0,over
Block Count (Window),blocking,69,20,0,+100.0,over
Block Count (Window),blocking,70,20,0,+100.0,over
Block Count (Window),blocking,71,20,0,+100.0,over
Block Count (Window),blocking,72,20,15,+14.3,over
Block Count (Window),blocking,73,20,5,+60.0,over
Block Count (Window),blocking,74,20,0,+100.0,over
Block Count (Window),blocking,75,20,0,+100.0,over
Block Count (Window),blocking,76,20,0,+100.0,over
Block Count (Window),blocking,77,20,0,+100.0,over
Block Count (Window),blocking,78,20,0,+100.0,over
Block Count (Window),blocking,79,20,0,+100.0,over
Block Count (Window),blocking,80,20,0,+100.0,over
Block Count (Window),blocking,81,20,0,+100.0,over
Block Count (Window),blocking,82,20,0,+100.0,over
Block Count (Window),blocking,83,20,0,+100.0,over
Block Count (Window),blocking,84,20,9,+37.9,over
Block Count (Window),blocking,85,20,11,+29.0,over
Block Count (Window),blocking,86,20,0,+100.0,over
Block Count (Window),blocking,87,20,0,+100.0,over
Block Count (Window),blocking,88,20,0,+100.0,over
Block Count (Window),blocking,89,20,0,+100.0,over
Block Count (Window),blocking,90,20,0,+100.0,over
Block Count (Window),blocking,91,20,0,+100.0,over
Block Count (Window),blocking,92,20,0,+100.0,over
Block Count (Window),blocking,93,20,0,+100.0,over
Block Count (Window),blocking,94,20,4,+66.7,over
Block Count (Window),blocking,95,20,16,+11.1,over
Block Count (Window),blocking,96,20,0,+100.0,over
Block Count (Window),blocking,97,20,0,+100.0,over
Block Count (Window),blocking,98,20,0,+100.0,over
Block Count (Window),blocking,99,19,0,+100.0,over
Block Count (Window),blocking,100,20,0,+100.0,over
Block Count (Window),blocking,101,20,0,+100.0,over
Block Count (Window),blocking,102,20,0,+100.0,over
Block Count (Window),blocking,103,20,0,+100.0,over
Block Count (Window),blocking,104,20,0,+100.0,over
Block Count (Window),blocking,105,20,19,+2.6,over
Block Count (Window),blocking,106,20,1,+90.5,over
Block Count (Window),blocking,107,20,0,+100.0,over
Block Count (Window),blocking,108,20,0,+100.0,over
Block Count (Window),blocking,109,20,0,+100.0,over
Block Count (Window),blocking,110,20,0,+100.0,over
